1,1,99999,00,1,5,1,2,2,1,2023-05-05 13:15:00
2,2,49999,00,1,5,1,2,2,1,2023-05-05 13:15:00
3,3,2999,00,2,6,2,1,1,2,2023-05-06 16:40:00
4,4,19999,00,1,6,2,1,1,3,2023-05-06 16:40:00
5,6,5999,00,1,7,3,4,3,5,2023-05-07 10:30:00
6,7,6999,00,1,7,3,4,3,1,2023-05-07 10:30:00
7,9,29999,00,1,8,4,3,1,1,2023-05-08 15:50:00
8,10,39999,00,1,8,4,3,1,1,2023-05-08 15:50:00
9,1,99999,00,1,9,1,1,2,1,2023-05-09 09:00:00
10,3,2999,00,2,9,1,1,2,2,2023-05-09 09:00:00
11,5,4999,00,1,10,2,2,3,4,2023-05-10 11:20:00
12,8,8999,00,1,10,2,2,3,1,2023-05-10 11:20:00
13,11,49999,00,1,11,3,3,2,1,2023-05-11 14:10:00
14,12,2499,00,2,11,3,3,2,2,2023-05-11 14:10:00
15,1,99999,00,1,12,4,4,3,1,2023-05-12 08:45:00
16,13,2499,00,1,12,4,4,3,2,2023-05-12 08:45:00
17,3,2999,00,1,13,1,2,1,2,2023-05-13 17:30:00
18,6,5999,00,1,13,1,2,1,5,2023-05-13 17:30:00
19,2,49999,00,1,14,2,3,2,1,2023-05-14 12:25:00
20,7,6999,00,1,14,2,3,2,1,2023-05-14 12:25:00
